mechanism	candidate_count	tier1_count	tier2_count	tier3_count	artifact_uncertain_count	plausible_lead_count	artifact_prone_count	expression_supported_count	repeat_context_caveat_count	locus_review_required_count
Immune and inflammatory regulation	4	0	1	0	3	1	3	1	0	0
Tissue-specific preservation	4	0	2	0	2	2	2	2	0	0
Ferroptosis, iron handling, and oxidative stress	4	0	3	0	1	3	2	2	1	1
p53 pathway	4	0	3	0	1	3	1	3	1	1
Proteostasis and autophagy	4	0	3	0	1	3	1	3	0	0
Mitochondrial biology and metabolism	3	0	2	0	1	2	1	2	0	0
Antioxidant response	3	0	2	0	1	2	1	3	0	0
DNA repair/genome stability	5	0	5	0	0	5	1	4	1	1
Chromatin and epigenome-related regulation	3	0	3	0	0	3	1	2	0	1
Telomere-related biology	7	0	7	0	0	7	0	5	0	0
