gene_symbol	mechanism	current_evidence_tier	phase8b_final_evidence_tier	tier_change	phase8b_audit_status	phase8b_reporting_class	evidence_components	orthology_component	locus_component	repeat_context_component	telomere_component	expression_component	artifact_risk_level	major_caveats	required_validation	supporting_files	claim_language_guardrail
ERCC1	DNA repair/genome stability	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	moderate	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;RTYP_REFSEQ_2022;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
ERCC4	DNA repair/genome stability	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	low	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
BRCA1	DNA repair/genome stability	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	low	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
MSH2	DNA repair/genome stability	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	moderate	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
MDM2	p53 pathway	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	moderate	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
ATM	p53 pathway	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	low	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
CHEK2	p53 pathway	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	low	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
HMGB1	Chromatin and epigenome-related regulation	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	low	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
SMARCA4	Chromatin and epigenome-related regulation	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	NOT_TELOMERE_PANEL_CANDIDATE	CAUTIOUS_TISSUE_SPECIFIC_SUPPORT	low	standard_validation_required	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
TERT	Telomere-related biology	Tier 2	Tier 2	UNCHANGED	TIER_RETAINED_PENDING_VALIDATION	PLAUSIBLE_LEAD_REQUIRES_VALIDATION	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT;PHASE6_TELOMERE_GENE_READINESS;PHASE7E_PHASE8A_RETINA_EXPRESSION_REVIEW	ORTHOLOGY_OR_CANDIDATE_MAPPING_PRESENT	LOCUS_NOT_TARGETED_BY_PHASE4E	REPEAT_CONTEXT_NOT_TARGETED_BY_PHASE5C	ORTHOLOGY_EVIDENCE_READY_FOR_DOMAIN_AND_CONTEXT_VALIDATION	EXPLORATORY_TISSUE_SIGNAL_ONLY	low	EXPLORATORY_TISSUE_SIGNAL_ONLY	REQUIRES_VALIDATION: confirm orthology, domain integrity, and annotation consistency before biological interpretation.;Run read QC, quantify with recorded parameters, review multi-mapping and isoform/paralog ambiguity, and keep interpretation retina-specific.;Confirm expression-support interpretation with decoy-aware Salmon or genome-aligned counting for ambiguous loci before Phase 8 claims.;Do not upgrade biological evidence tier from expression alone.;Require orthology, locus identity, domain integrity, cross-resource support, and expression-reference validation before stronger claims.;Confirm orthology, domain architecture, locus context, annotation consistency, and cross-resource support before telomere-related biological interpretation.;Phase 8b final tier audit requires all mechanism-level claims to remain traceable to supporting tables and validation caveats.	ARAD_REFSEQ_2026;CMIL_REFSEQ_2021;RTYP_REFSEQ_2022;SCAN_REFSEQ_2026;SMIC_TOKYO_GENOME_2025;results\rnaseq\salmon\SRR32965275\quant.sf;results/rnaseq/phase7c_candidate_reference_validation.tsv;data/interim/rnaseq/phase7c/smic_tokyo.tx2gene.tsv;results/rnaseq/phase7d_candidate_expression_matrix.tsv;results/rnaseq/phase7d_salmon_quant_summary.tsv;results/orthology/candidate_duplication_audit.tsv;results/rnaseq/phase7e_candidate_expression_hardened.tsv;results/rnaseq/phase7e_run_qc_review.tsv;results/rnaseq/phase7e_parameter_review.tsv;config/candidate_panels.yaml;results/orthology/candidate_copy_number.tsv;results/evidence/integrated_evidence.tsv;results/evidence/phase8a_expression_support_evidence.tsv;results/evidence/phase8b_tier_audit.tsv	Phase 8b is a conservative audit layer. Do not infer mechanism, pathway activity, functional advantage, clinical relevance, causation, validated duplication, telomere length, or organism-wide aging from this table alone.
